Destination Name,Country,Continent,Type,Avg Cost (USD/day),Best Season,Avg Rating,Annual Visitors (M),UNESCO Site
Golden Falls,India,Asia,Religious,127.38,Spring,3.8,6.2,No
Grand Plaza,Argentina,South America,Nature,201.18,Winter,4.2,8.67,Yes
Ancient Ruins,Australia,Oceania,Historical,101.65,Summer,4.5,2.8,No
Golden Canyon,Germany,Europe,Adventure,270.1,Spring,4.5,7.17,No
Hidden Canyon,China,Asia,City,138.95,Autumn,4.5,3.6,No
Hidden Temple,South Africa,Africa,Religious,106.18,Summer,4.5,3.83,Yes
Mystic Plaza,Italy,Europe,Religious,99.92,Summer,4.4,5.89,No
Crystal Falls,Kenya,Africa,Nature,199.44,Spring,4.7,2.4,No
Lush Ruins,Egypt,Africa,City,219.97,Winter,4.8,0.8,No
Sacred Pagoda,India,Asia,Religious,240.6,Spring,4.6,8.77,No
Ancient Forest,New Zealand,Oceania,Religious,194.76,Winter,4.7,3.72,No
Ancient Beach,India,Asia,Nature,155.73,Spring,4.8,8.26,Yes
Mystic Ruins,New Zealand,Oceania,Nature,253.76,Winter,4.3,5.5,No
Serene Park,Peru,South America,Nature,131.52,Autumn,4.6,1.07,Yes
Lush Ruins,Vietnam,Asia,Beach,117.43,Autumn,4.4,8.78,No
Sacred Pagoda,Australia,Oceania,Adventure,98.42,Autumn,4.3,8.0,No
Golden Temple,Kenya,Africa,Historical,148.78,Summer,5.0,5.78,No
Ancient Forest,South Africa,Africa,Beach,103.34,Summer,4.7,9.97,No
Grand Ruins,Italy,Europe,Beach,151.9,Autumn,4.5,2.4,Yes
Grand Pagoda,Germany,Europe,Religious,124.89,Autumn,4.6,0.79,No
Sacred Ruins,China,Asia,Adventure,137.13,Summer,4.0,8.75,No
Sacred Plaza,Morocco,Africa,Historical,196.64,Summer,4.8,4.54,Yes
Golden Canyon,Australia,Oceania,City,88.71,Winter,4.1,9.88,No
Serene Temple,India,Asia,Religious,71.91,Autumn,5.0,7.39,No
Ancient Beach,India,Asia,Historical,203.93,Winter,4.5,9.06,Yes
Ancient Valley,Kenya,Africa,Adventure,68.35,Summer,4.3,6.13,Yes
Golden Temple,Egypt,Africa,Beach,223.83,Autumn,4.9,7.46,No
Serene Beach,Italy,Europe,Adventure,170.08,Autumn,4.3,9.14,Yes
Hidden Park,Germany,Europe,Nature,122.48,Spring,4.3,9.73,Yes
Mystic Forest,Egypt,Africa,Religious,166.19,Spring,4.4,5.18,Yes
Sacred Park,Mexico,North America,Adventure,177.18,Spring,4.4,4.73,Yes
Golden Falls,USA,North America,Religious,38.28,Autumn,4.6,6.13,No
Hidden Plaza,Morocco,Africa,Religious,131.88,Autumn,4.2,9.71,No
Sacred Pagoda,Thailand,Asia,City,190.36,Spring,4.1,3.59,No
Mystic Pagoda,Mexico,North America,City,126.61,Spring,4.6,9.71,No
Sacred Forest,Italy,Europe,Nature,72.21,Autumn,4.4,1.2,No
Hidden Valley,Germany,Europe,Adventure,153.84,Winter,4.1,3.7,Yes
Serene Beach,India,Asia,Historical,137.04,Summer,4.9,2.86,No
Serene Park,Brazil,South America,Adventure,225.04,Summer,4.8,2.09,No
Hidden Canyon,Kenya,Africa,Nature,192.35,Winter,4.9,5.01,No
Ancient Pagoda,France,Europe,City,169.1,Winter,4.6,6.06,No
Serene Forest,Mexico,North America,Religious,134.83,Winter,4.6,1.56,No
Hidden Canyon,Peru,South America,Historical,146.42,Autumn,4.5,5.55,No
Lush Falls,Brazil,South America,Historical,143.45,Autumn,4.2,9.37,No
Serene Ruins,Canada,North America,Historical,153.93,Spring,3.9,0.89,No
Serene Falls,France,Europe,Historical,156.97,Autumn,4.6,8.75,Yes
Hidden Canyon,Mexico,North America,Adventure,199.9,Winter,3.6,5.14,No
Hidden Ruins,Vietnam,Asia,Religious,106.44,Autumn,4.6,0.78,No
Sacred Beach,Germany,Europe,Religious,205.41,Autumn,4.2,2.42,Yes
Golden Beach,Australia,Oceania,Beach,163.83,Summer,4.3,4.72,No
Mystic Beach,Thailand,Asia,City,140.47,Winter,4.6,7.08,Yes
Lush Pagoda,Canada,North America,Nature,148.46,Autumn,5.0,6.37,No
Sacred Canyon,France,Europe,Beach,160.05,Autumn,4.8,0.79,Yes
Grand Ruins,New Zealand,Oceania,Historical,159.88,Summer,4.6,6.93,No
Sacred Canyon,Greece,Europe,Beach,181.94,Winter,4.2,4.24,Yes
Grand Pagoda,Japan,Asia,Historical,111.42,Autumn,4.6,6.75,Yes
Ancient Beach,South Africa,Africa,City,146.79,Winter,4.6,8.77,Yes
Lush Beach,Spain,Europe,Adventure,167.03,Autumn,4.9,7.52,No
Grand Falls,Morocco,Africa,Beach,137.79,Winter,4.8,3.61,Yes
Lush Canyon,South Africa,Africa,Beach,202.35,Summer,4.7,7.74,Yes
Golden Ruins,Italy,Europe,Beach,135.12,Spring,4.9,8.27,No
Grand Valley,Peru,South America,Beach,156.02,Winter,4.2,0.55,No
Grand Forest,Argentina,South America,City,95.19,Winter,4.1,4.26,No
Ancient Forest,Peru,South America,Adventure,105.74,Winter,5.0,4.76,No
Ancient Falls,Japan,Asia,Beach,118.05,Summer,4.1,2.66,No
Hidden Beach,Egypt,Africa,Nature,158.48,Autumn,4.3,6.85,No
Hidden Forest,Morocco,Africa,Historical,115.59,Autumn,5.0,4.11,No
Grand Valley,China,Asia,Adventure,152.96,Winter,4.8,5.05,No
Ancient Canyon,Egypt,Africa,Historical,80.52,Winter,4.0,6.01,No
Hidden Falls,Germany,Europe,Adventure,266.43,Winter,4.7,7.77,No
Lush Falls,Greece,Europe,Beach,179.74,Summer,4.8,9.58,No
Grand Pagoda,Brazil,South America,Beach,137.37,Winter,4.6,9.31,Yes
Ancient Falls,New Zealand,Oceania,Nature,112.3,Autumn,4.4,5.12,Yes
Golden Canyon,New Zealand,Oceania,Beach,106.47,Spring,4.2,3.42,No
Sacred Temple,Thailand,Asia,Adventure,158.99,Summer,4.9,3.46,No
Mystic Ruins,South Africa,Africa,Nature,225.73,Winter,4.7,3.09,No
Ancient Ruins,Brazil,South America,Historical,100.88,Spring,4.4,2.22,No
Ancient Falls,Thailand,Asia,Historical,101.54,Autumn,4.7,5.49,Yes
Serene Pagoda,Brazil,South America,City,119.93,Autumn,4.6,5.89,No
Grand Falls,Greece,Europe,City,219.87,Spring,4.5,5.73,Yes
Grand Park,Egypt,Africa,Adventure,156.26,Spring,4.4,9.54,No
Serene Pagoda,Germany,Europe,Historical,210.31,Spring,4.6,8.9,No
Crystal Pagoda,Peru,South America,City,114.9,Autumn,4.3,6.3,No
Grand Falls,South Africa,Africa,City,207.47,Spring,4.4,9.05,No
Sacred Ruins,Greece,Europe,Nature,87.81,Winter,4.3,7.91,No
Lush Temple,Kenya,Africa,Nature,190.15,Summer,4.3,4.53,No
Grand Pagoda,India,Asia,Historical,116.33,Summer,4.6,6.43,No
Mystic Plaza,Germany,Europe,Religious,261.13,Spring,4.1,2.1,Yes
Lush Park,China,Asia,Beach,181.69,Autumn,4.6,2.56,No
Hidden Forest,China,Asia,Nature,211.23,Autumn,5.0,5.69,No
Serene Falls,Egypt,Africa,Religious,122.13,Summer,4.1,6.15,Yes
Grand Falls,USA,North America,Religious,165.72,Summer,4.5,1.8,No
Serene Forest,Thailand,Asia,Beach,109.82,Summer,5.0,4.57,Yes
Grand Pagoda,Australia,Oceania,Nature,198.82,Winter,4.8,9.92,No
Golden Pagoda,Kenya,Africa,Nature,178.45,Winter,5.0,3.1,No
Ancient Valley,Greece,Europe,Historical,94.96,Autumn,4.3,3.87,No
Serene Forest,Germany,Europe,Historical,151.7,Spring,4.3,1.14,No
Lush Falls,Vietnam,Asia,Historical,118.91,Autumn,4.7,5.63,Yes
Ancient Beach,Spain,Europe,Historical,166.54,Summer,4.8,5.56,No
Mystic Temple,Peru,South America,Religious,91.37,Summer,4.1,6.86,No
Grand Pagoda,Australia,Oceania,City,233.63,Winter,4.6,4.92,No
Grand Plaza,Mexico,North America,Adventure,154.82,Winter,4.3,9.6,Yes
Grand Plaza,France,Europe,Religious,176.94,Winter,4.2,2.41,No
Ancient Park,France,Europe,Religious,104.25,Winter,4.5,4.78,Yes
Serene Pagoda,Greece,Europe,Nature,113.22,Winter,4.9,6.82,No
Hidden Park,Greece,Europe,Historical,123.3,Autumn,4.1,1.95,No
Hidden Falls,China,Asia,Nature,210.65,Autumn,4.5,5.45,No
Crystal Park,India,Asia,Nature,112.54,Winter,4.6,7.68,No
Serene Canyon,South Africa,Africa,Beach,156.68,Winter,4.5,7.93,No
Sacred Plaza,Greece,Europe,City,96.47,Spring,4.2,3.92,No
Grand Ruins,Thailand,Asia,Nature,58.19,Winter,4.7,4.27,No
Lush Canyon,Vietnam,Asia,Religious,257.79,Winter,4.2,5.4,No
Golden Falls,Germany,Europe,City,149.7,Spring,4.8,9.93,No
Grand Forest,France,Europe,Adventure,130.76,Winter,4.6,9.34,Yes
Lush Plaza,Australia,Oceania,Religious,154.09,Autumn,4.5,4.12,No
Golden Temple,India,Asia,Adventure,178.42,Winter,4.7,3.39,Yes
Crystal Ruins,Argentina,South America,Beach,141.25,Spring,4.3,2.15,Yes
Ancient Park,India,Asia,Nature,98.17,Autumn,4.9,9.77,No
Golden Pagoda,Greece,Europe,Historical,204.29,Spring,4.6,1.76,No
Serene Canyon,New Zealand,Oceania,City,273.24,Autumn,4.4,7.77,Yes
Ancient Pagoda,Italy,Europe,Adventure,150.52,Spring,4.1,4.29,No
Hidden Park,Greece,Europe,City,131.41,Winter,4.2,1.15,No
Serene Temple,Morocco,Africa,Adventure,152.83,Winter,4.7,9.68,No
Sacred Ruins,Italy,Europe,Nature,59.88,Spring,4.3,5.31,No
Crystal Forest,Peru,South America,Religious,103.03,Spring,4.5,6.59,Yes
Grand Beach,Kenya,Africa,Beach,177.01,Winter,4.1,6.68,No
Mystic Temple,Brazil,South America,Religious,139.33,Winter,4.9,1.05,No
Grand Pagoda,Germany,Europe,Religious,121.82,Spring,4.4,1.65,No
Grand Pagoda,Germany,Europe,Nature,119.33,Spring,4.4,7.08,No
Crystal Falls,Spain,Europe,Religious,150.78,Summer,4.3,9.97,No
Ancient Pagoda,India,Asia,Adventure,171.85,Spring,4.9,3.41,No
Sacred Plaza,Morocco,Africa,Religious,174.98,Spring,5.0,4.55,No
Hidden Canyon,Canada,North America,Adventure,81.66,Winter,4.4,3.99,No
Lush Falls,Peru,South America,Nature,210.39,Winter,4.4,7.47,No
Lush Beach,Kenya,Africa,Beach,121.17,Summer,3.7,0.68,Yes
Grand Temple,Greece,Europe,City,193.16,Autumn,4.3,1.8,No
Crystal Valley,Germany,Europe,Religious,76.05,Spring,4.6,0.62,Yes
Mystic Beach,Morocco,Africa,Historical,100.29,Spring,4.5,5.71,Yes
Serene Plaza,China,Asia,Religious,209.83,Spring,4.5,1.43,No
Lush Valley,Morocco,Africa,Beach,90.35,Summer,4.5,3.58,Yes
Lush Beach,Germany,Europe,Nature,141.35,Winter,5.0,4.07,No
Grand Ruins,France,Europe,Religious,106.26,Spring,3.8,7.96,No
Ancient Valley,Vietnam,Asia,Beach,116.55,Winter,4.8,7.04,No
Mystic Ruins,Peru,South America,Historical,70.04,Spring,4.4,8.49,Yes
Mystic Pagoda,Spain,Europe,Nature,257.87,Summer,4.3,6.76,No
Mystic Plaza,Japan,Asia,Religious,163.83,Winter,4.7,6.33,No
Ancient Valley,Egypt,Africa,Religious,151.6,Autumn,4.3,1.93,No
Grand Falls,Germany,Europe,Beach,154.43,Autumn,5.0,6.96,No
Serene Forest,Germany,Europe,City,131.73,Spring,4.6,1.18,No
Golden Canyon,Egypt,Africa,Nature,109.88,Spring,4.9,3.32,No
Crystal Beach,Canada,North America,Nature,210.02,Winter,4.3,6.78,No
Lush Park,Mexico,North America,Adventure,127.43,Autumn,4.4,1.43,Yes
Hidden Ruins,Spain,Europe,Nature,209.29,Summer,4.7,3.02,No
Mystic Pagoda,China,Asia,Nature,180.36,Autumn,4.9,4.13,No
Serene Beach,Spain,Europe,Beach,133.87,Summer,4.4,6.34,Yes
Sacred Plaza,Italy,Europe,Adventure,182.08,Spring,4.9,5.54,No
Sacred Forest,Thailand,Asia,Religious,117.82,Autumn,4.8,9.81,Yes
Ancient Forest,Egypt,Africa,City,222.78,Spring,5.0,7.61,Yes
Ancient Canyon,Canada,North America,City,176.91,Spring,4.8,1.72,No
Ancient Plaza,Thailand,Asia,Religious,177.84,Winter,4.4,2.63,Yes
Mystic Valley,Greece,Europe,Adventure,97.76,Summer,3.9,4.67,No
Mystic Pagoda,France,Europe,Religious,178.97,Winter,4.5,2.79,No
Mystic Canyon,Japan,Asia,Nature,138.94,Spring,4.4,8.93,Yes
Crystal Forest,Greece,Europe,Beach,82.97,Spring,4.8,8.25,No
Sacred Falls,Spain,Europe,Historical,141.64,Summer,4.6,7.67,No
Crystal Valley,Italy,Europe,Adventure,210.69,Winter,4.5,7.42,No
Sacred Beach,South Africa,Africa,Religious,183.14,Summer,4.9,2.19,Yes
Hidden Plaza,Italy,Europe,Beach,166.31,Winter,4.5,9.41,Yes
Grand Temple,Germany,Europe,City,169.98,Summer,4.3,8.27,No
Hidden Canyon,Peru,South America,City,151.52,Autumn,4.1,8.49,No
Golden Ruins,Spain,Europe,Nature,165.44,Spring,5.0,6.11,Yes
Ancient Pagoda,Mexico,North America,Nature,55.04,Summer,4.5,5.87,No
Lush Beach,Argentina,South America,Historical,187.67,Spring,4.6,6.54,Yes
Crystal Park,Japan,Asia,City,118.88,Spring,4.6,4.88,No
Lush Temple,Mexico,North America,Adventure,139.55,Spring,4.2,8.1,No
Grand Beach,New Zealand,Oceania,City,163.03,Winter,4.1,7.46,Yes
Golden Falls,Mexico,North America,Nature,90.21,Spring,4.6,3.88,No
Crystal Valley,France,Europe,Religious,163.9,Autumn,4.9,0.55,No
Golden Ruins,Canada,North America,Nature,110.76,Winter,4.7,9.6,No
Sacred Plaza,Brazil,South America,Beach,77.51,Summer,4.2,1.91,No
Sacred Ruins,Japan,Asia,Adventure,186.12,Summer,4.4,9.97,No
Golden Plaza,Morocco,Africa,Adventure,109.14,Summer,3.9,7.36,No
Hidden Plaza,Kenya,Africa,City,161.23,Winter,4.8,4.22,Yes
Ancient Temple,Peru,South America,Historical,234.05,Autumn,4.3,0.53,Yes
Mystic Pagoda,Germany,Europe,Nature,73.72,Summer,4.9,8.04,Yes
Hidden Temple,India,Asia,Historical,159.06,Autumn,4.2,5.07,Yes
Ancient Valley,India,Asia,Historical,121.79,Autumn,4.6,6.01,Yes
Golden Temple,USA,North America,Religious,243.07,Spring,5.0,6.23,No
Hidden Plaza,Peru,South America,City,201.2,Summer,4.7,3.06,No
Mystic Beach,Australia,Oceania,Beach,149.65,Spring,4.9,1.23,Yes
Ancient Ruins,China,Asia,Adventure,141.49,Winter,4.4,7.96,Yes
Serene Ruins,Greece,Europe,Beach,197.39,Summer,4.7,5.41,No
Ancient Park,Canada,North America,Adventure,92.92,Spring,4.4,3.62,No
Ancient Temple,South Africa,Africa,Historical,107.84,Summer,4.5,2.6,Yes
Hidden Valley,Morocco,Africa,Adventure,225.67,Winter,4.7,9.98,Yes
Grand Plaza,Italy,Europe,Adventure,159.49,Summer,4.7,4.5,Yes
Mystic Falls,Vietnam,Asia,Beach,211.05,Autumn,4.7,1.62,No
Mystic Beach,Canada,North America,City,207.37,Spring,4.4,4.15,Yes
Lush Plaza,Egypt,Africa,Nature,244.23,Winter,5.0,2.25,No
Grand Ruins,New Zealand,Oceania,Adventure,79.46,Summer,4.1,0.75,Yes
Sacred Beach,Thailand,Asia,City,157.04,Winter,4.0,3.34,No
Lush Falls,China,Asia,Religious,201.65,Spring,4.4,8.5,No
Mystic Beach,South Africa,Africa,Nature,175.68,Spring,4.3,4.85,No
Crystal Beach,Peru,South America,Nature,94.43,Winter,4.5,1.27,Yes
Serene Ruins,Vietnam,Asia,Nature,148.62,Spring,5.0,4.65,No
Golden Temple,Greece,Europe,City,195.01,Winter,4.7,2.01,Yes
Mystic Ruins,South Africa,Africa,Adventure,100.08,Spring,4.6,7.64,No
Hidden Park,Mexico,North America,Nature,167.67,Spring,4.5,1.16,No
Mystic Park,France,Europe,Religious,144.99,Spring,4.4,2.99,No
Golden Valley,Canada,North America,Adventure,167.75,Spring,4.4,2.87,Yes
Lush Beach,Italy,Europe,City,195.68,Winter,4.3,4.77,Yes
Hidden Ruins,Peru,South America,Nature,123.7,Winter,4.5,1.1,No
Mystic Valley,Peru,South America,Beach,30.0,Summer,4.8,3.8,Yes
Grand Park,Australia,Oceania,Historical,162.35,Summer,4.5,5.82,No
Mystic Plaza,Greece,Europe,Historical,71.87,Spring,4.3,7.44,No
Sacred Park,Morocco,Africa,Adventure,94.48,Spring,4.7,5.87,Yes
Crystal Ruins,Japan,Asia,City,173.32,Winter,4.5,6.28,No
Grand Park,USA,North America,Religious,109.58,Summer,4.4,1.94,No
Serene Park,Italy,Europe,City,113.27,Spring,4.3,8.58,No
Ancient Temple,Greece,Europe,Adventure,200.88,Winter,5.0,1.59,No
Ancient Falls,Japan,Asia,Historical,171.44,Winter,4.7,1.14,No
Ancient Falls,India,Asia,Beach,168.97,Spring,5.0,1.28,Yes
Lush Plaza,Brazil,South America,Beach,96.39,Summer,3.6,2.07,Yes
Hidden Forest,USA,North America,Adventure,127.58,Autumn,5.0,4.41,No
Serene Ruins,China,Asia,Beach,180.96,Autumn,5.0,1.09,No
Hidden Canyon,India,Asia,Beach,219.86,Summer,4.5,4.86,Yes
Grand Ruins,Greece,Europe,Beach,117.7,Spring,4.3,2.06,Yes
Lush Beach,Spain,Europe,Nature,208.1,Summer,4.3,5.43,No
Grand Ruins,Thailand,Asia,Religious,166.15,Winter,4.4,8.86,No
Serene Plaza,Italy,Europe,Beach,131.98,Spring,4.7,4.79,Yes
Crystal Temple,New Zealand,Oceania,Religious,194.16,Spring,4.5,5.62,No
Lush Ruins,Greece,Europe,Beach,101.33,Autumn,4.5,6.74,No
Crystal Park,Italy,Europe,Historical,128.68,Summer,4.8,7.87,No
Mystic Canyon,Vietnam,Asia,City,58.46,Summer,4.6,8.03,Yes
Grand Pagoda,Spain,Europe,Adventure,243.66,Summer,4.8,8.08,No
Sacred Plaza,Vietnam,Asia,Religious,188.27,Spring,4.4,5.56,Yes
Lush Beach,USA,North America,Historical,174.24,Autumn,4.2,8.04,No
Crystal Park,Brazil,South America,Adventure,191.69,Autumn,4.4,9.11,Yes
Hidden Forest,Italy,Europe,City,133.26,Summer,4.4,2.25,Yes
Grand Forest,Thailand,Asia,Nature,164.9,Winter,4.7,1.94,No
Serene Pagoda,Thailand,Asia,Nature,253.13,Autumn,4.2,1.29,No
Golden Forest,Argentina,South America,Beach,159.58,Autumn,4.6,5.3,No
Lush Ruins,South Africa,Africa,Nature,146.02,Winter,4.6,9.85,Yes
Grand Valley,USA,North America,City,207.44,Winter,4.9,2.08,Yes
Mystic Park,Kenya,Africa,Adventure,140.64,Winter,4.8,2.04,No
Sacred Plaza,Brazil,South America,Historical,151.64,Summer,4.4,5.51,Yes
Golden Park,New Zealand,Oceania,Historical,178.98,Spring,4.6,1.25,No
Mystic Ruins,South Africa,Africa,Nature,109.73,Autumn,4.7,8.65,Yes
Ancient Canyon,South Africa,Africa,Nature,158.42,Summer,4.9,7.25,No
Lush Park,New Zealand,Oceania,Historical,134.82,Autumn,3.9,8.31,Yes
Grand Ruins,Egypt,Africa,Adventure,43.91,Summer,4.3,5.2,Yes
Hidden Temple,Egypt,Africa,Nature,125.08,Autumn,4.8,2.15,Yes
Hidden Beach,Italy,Europe,Religious,192.03,Autumn,4.7,1.46,No
Lush Valley,Peru,South America,Historical,121.74,Spring,4.4,3.81,Yes
Lush Falls,Mexico,North America,City,230.77,Spring,4.4,6.69,No
Ancient Temple,Brazil,South America,Religious,74.08,Autumn,4.9,8.49,No
Sacred Falls,India,Asia,City,170.19,Autumn,4.5,6.52,No
Sacred Plaza,Italy,Europe,Nature,168.62,Winter,4.3,3.59,Yes
Serene Beach,Germany,Europe,Nature,126.77,Summer,4.6,2.16,Yes
Hidden Temple,Mexico,North America,Beach,129.9,Autumn,4.7,8.45,Yes
Ancient Beach,Brazil,South America,Historical,193.56,Autumn,4.1,7.09,No
Mystic Pagoda,Mexico,North America,Historical,53.19,Autumn,4.5,2.52,No
Crystal Valley,South Africa,Africa,Nature,175.7,Spring,4.6,8.78,No
Serene Temple,Argentina,South America,Beach,186.18,Autumn,4.7,6.82,Yes
Grand Forest,Morocco,Africa,City,170.49,Winter,4.4,6.87,Yes
Mystic Ruins,France,Europe,Religious,101.68,Summer,4.5,4.75,No
Crystal Canyon,Egypt,Africa,Beach,205.35,Winter,4.5,5.69,Yes
Serene Pagoda,Thailand,Asia,Adventure,162.65,Spring,4.5,1.55,No
Golden Forest,Argentina,South America,Religious,123.23,Autumn,4.5,7.53,No
Ancient Pagoda,Kenya,Africa,Historical,138.91,Spring,4.6,8.65,Yes
Crystal Canyon,Spain,Europe,Historical,175.66,Spring,4.4,7.66,No
Sacred Temple,Morocco,Africa,Religious,194.43,Spring,4.3,3.17,Yes
Mystic Beach,Italy,Europe,Nature,168.36,Autumn,5.0,1.42,No
Grand Plaza,Morocco,Africa,Adventure,55.74,Spring,4.4,6.18,Yes
Serene Falls,China,Asia,Religious,97.32,Summer,4.2,7.56,No
Hidden Forest,Mexico,North America,Religious,171.42,Autumn,4.8,6.14,No
Lush Ruins,Argentina,South America,City,144.78,Winter,4.4,8.05,Yes
Hidden Valley,Brazil,South America,Religious,154.16,Winter,4.4,9.96,No
Crystal Plaza,Mexico,North America,Historical,153.5,Winter,4.8,1.1,No
Lush Valley,Peru,South America,Historical,167.38,Spring,4.8,1.59,No
Serene Forest,Vietnam,Asia,Beach,198.76,Summer,4.7,8.85,No
Grand Beach,Greece,Europe,Religious,182.66,Autumn,5.0,4.59,No
Lush Ruins,Germany,Europe,City,117.3,Winter,4.0,7.85,No
Lush Falls,Peru,South America,Religious,194.29,Winter,4.6,4.71,No
Golden Pagoda,Morocco,Africa,City,230.61,Spring,4.9,6.12,No
Mystic Pagoda,Brazil,South America,City,99.28,Winter,4.7,5.37,No
Grand Plaza,Spain,Europe,City,137.7,Autumn,4.2,5.13,No
Serene Falls,Vietnam,Asia,Adventure,171.21,Summer,4.5,6.21,Yes
Golden Temple,France,Europe,Historical,152.18,Winter,5.0,6.52,Yes
Ancient Plaza,Mexico,North America,Religious,144.72,Spring,4.4,3.94,No
Golden Canyon,Australia,Oceania,Nature,119.41,Spring,4.5,1.83,Yes
Mystic Falls,Argentina,South America,Adventure,138.99,Spring,3.9,2.36,No
Grand Beach,Vietnam,Asia,Historical,74.76,Winter,4.7,2.47,Yes
Golden Park,Mexico,North America,City,139.75,Winter,4.5,0.57,Yes
Golden Plaza,Australia,Oceania,City,134.54,Summer,4.3,8.12,No
Golden Valley,Morocco,Africa,Historical,174.01,Summer,5.0,3.29,No
Grand Pagoda,Morocco,Africa,Beach,141.99,Summer,4.7,1.33,No
Mystic Temple,China,Asia,Beach,105.69,Spring,4.6,3.78,No
Ancient Forest,Kenya,Africa,Religious,203.8,Summer,4.5,5.19,No
Ancient Forest,Brazil,South America,Nature,130.04,Winter,4.3,4.25,No
Ancient Pagoda,Egypt,Africa,Beach,59.84,Spring,4.0,9.12,Yes
Sacred Temple,Canada,North America,Nature,188.6,Winter,5.0,3.44,No
Golden Forest,Japan,Asia,Religious,125.85,Autumn,4.5,2.95,Yes
Golden Beach,Vietnam,Asia,City,157.24,Autumn,4.3,7.02,No
Lush Ruins,Kenya,Africa,Beach,136.57,Summer,4.2,4.83,No
Ancient Canyon,Spain,Europe,Nature,105.59,Summer,4.4,4.48,No
Crystal Canyon,Morocco,Africa,City,143.44,Autumn,4.5,1.26,No
Golden Canyon,India,Asia,Beach,175.6,Summer,4.4,6.85,No
Ancient Valley,Japan,Asia,Religious,95.48,Spring,4.9,6.14,No
Mystic Falls,Italy,Europe,Beach,160.34,Winter,4.7,8.8,No
Ancient Falls,Japan,Asia,Adventure,119.38,Spring,4.6,9.07,No
Lush Canyon,Peru,South America,City,152.92,Summer,4.3,1.85,No
Mystic Valley,China,Asia,Religious,148.34,Autumn,4.4,3.3,No
Mystic Valley,Germany,Europe,Religious,283.91,Summer,4.4,0.92,No
Lush Ruins,Thailand,Asia,Nature,157.99,Autumn,4.2,3.76,No
Mystic Pagoda,Egypt,Africa,Adventure,192.77,Spring,4.9,8.53,No
Ancient Canyon,Vietnam,Asia,Beach,117.69,Autumn,5.0,6.89,No
Sacred Park,Morocco,Africa,Historical,102.81,Summer,4.2,8.0,No
Ancient Plaza,South Africa,Africa,City,219.62,Spring,4.4,8.31,No
Grand Ruins,Kenya,Africa,Religious,59.03,Winter,4.3,6.03,No
Mystic Forest,New Zealand,Oceania,Nature,215.22,Summer,4.0,7.2,Yes
Lush Falls,Vietnam,Asia,Adventure,100.66,Winter,4.9,2.09,Yes
Serene Forest,Mexico,North America,Historical,94.71,Spring,4.4,8.96,Yes
Ancient Pagoda,Morocco,Africa,Adventure,101.78,Autumn,4.4,0.74,No
Lush Pagoda,India,Asia,Nature,215.52,Autumn,4.9,3.74,Yes
Golden Valley,Peru,South America,Beach,142.47,Autumn,4.3,3.46,No
Golden Valley,China,Asia,Adventure,198.24,Summer,5.0,3.96,No
Sacred Temple,Egypt,Africa,Nature,244.57,Spring,4.4,1.84,No
Hidden Beach,Morocco,Africa,Religious,126.31,Autumn,4.5,5.3,No
Lush Falls,Mexico,North America,Adventure,144.89,Spring,4.6,0.87,No
Serene Beach,India,Asia,Beach,145.58,Summer,4.4,2.02,No
Hidden Valley,Peru,South America,Historical,59.81,Spring,4.4,9.05,No
Grand Valley,Italy,Europe,City,184.85,Autumn,4.4,6.23,Yes
Grand Temple,Brazil,South America,Nature,73.02,Winter,4.1,3.73,Yes
Grand Beach,India,Asia,City,90.3,Spring,4.5,5.76,Yes
Lush Pagoda,Morocco,Africa,Religious,228.64,Summer,4.6,8.42,No
Golden Forest,Kenya,Africa,Nature,59.95,Winter,4.3,2.96,No
Lush Forest,Italy,Europe,Nature,86.93,Autumn,4.2,9.68,No
Mystic Valley,USA,North America,Religious,51.04,Winter,4.7,6.01,No
Grand Plaza,China,Asia,Religious,141.41,Spring,4.2,6.45,No
Hidden Canyon,Egypt,Africa,Religious,30.0,Winter,4.4,9.94,Yes
Sacred Canyon,India,Asia,City,164.59,Winter,4.8,5.91,No
Crystal Falls,New Zealand,Oceania,Historical,88.52,Winter,4.6,4.25,Yes
Hidden Valley,Kenya,Africa,City,148.49,Winter,4.3,5.66,No
Grand Forest,Japan,Asia,Nature,162.69,Autumn,4.6,5.57,No
Golden Plaza,Argentina,South America,Adventure,131.91,Summer,4.6,8.05,No
Mystic Canyon,Germany,Europe,Beach,181.08,Summer,4.4,9.47,Yes
Crystal Temple,Kenya,Africa,Historical,143.77,Winter,4.1,9.82,No
Ancient Park,New Zealand,Oceania,Beach,206.3,Spring,4.5,6.09,No
Sacred Plaza,Kenya,Africa,Religious,77.6,Winter,4.2,2.43,No
Golden Plaza,Mexico,North America,Nature,120.22,Spring,4.9,5.36,No
Golden Beach,China,Asia,Adventure,285.8,Spring,4.4,8.72,No
Hidden Park,Brazil,South America,City,147.26,Autumn,4.6,8.36,No
Serene Canyon,New Zealand,Oceania,Religious,170.73,Winter,4.9,9.58,No
Mystic Forest,India,Asia,City,140.13,Summer,4.5,8.61,Yes
Sacred Canyon,Greece,Europe,Adventure,208.29,Summer,4.4,8.98,No
Lush Ruins,Germany,Europe,City,179.68,Spring,3.6,6.45,Yes
Crystal Pagoda,Italy,Europe,City,247.85,Spring,4.4,7.37,No
Hidden Forest,South Africa,Africa,Nature,111.36,Spring,4.6,3.34,Yes
